,limonene_qtof_67,limonene_qtof_93,limonene_qtof_79,sec.butylbenzene_qtof_105,sec.butylbenzene_qtof_79,sec.butylbenzene_qtof_91,results,well,cl,C_predunweigthed,C_predX,C_predX2,LODunweigthed,LODX,LODX2,DTS,RBS,FC,Sample_ID,OD_induction,OD_harvest
MVA2_1 TB_Glc_amp_kan 25uMIPTG_200nMaTet_1.mzXML,897998.624511719,568528.071289062,488625.615234375,22398079.0588379,4108166.54101562,4060021.52587891,0.0253828942,1,sample,-27.5981851428,-5.3970888826,3.8983936839,<LOD,<LOD,NA,170731xxxLIM01.xls,1MVA2,1,MVA2_1 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.564,1.844
MVA2_2 TB_Glc_amp_kan 25uMIPTG_200nMaTet_13.mzXML,953725.551757812,622131.548339844,522055.681640625,24259032.8339844,4576208.14599609,4358610.40478516,0.0256453566,13,sample,-27.4906414926,-5.3023881183,3.9790918456,<LOD,<LOD,NA,170731xxxLIM01.xls,1MVA2,1.0103401294,MVA2_2 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.596,1.967
MVA2_3 TB_Glc_amp_kan 25uMIPTG_200nMaTet_25.mzXML,597391.832763672,385451.977539062,358790.665039062,16143762.5705566,2745280.96826172,2729372.57958984,0.023876217,25,sample,-28.2155442978,-5.9407228743,3.4351422616,<LOD,<LOD,NA,170731xxxLIM01.xls,1MVA2,0.9406420226,MVA2_3 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.484,1.725
MVA2_41_1 TB_Glc_amp_kan 25uMIPTG_200nMaTet_37.mzXML,1412416.04638672,914744.068969727,699053.504394531,22822748.1766357,4232882.62060547,4094612.69189453,0.0400803646,37,sample,-21.5759147061,-0.0939992788,8.4173601932,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS41_2,1.5790305197,MVA2_41_1 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.481,1.519
MVA2_41_2 TB_Glc_amp_kan 25uMIPTG_200nMaTet_49.mzXML,1439877.06933594,924035.653076172,698612.692871094,22638447.6002197,4139818.74560547,4095460.64453125,0.0408170944,49,sample,-21.2740405865,0.1718249684,8.6438792528,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS41_2,1.6080551758,MVA2_41_2 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.646,1.954
MVA2_41_3 TB_Glc_amp_kan 25uMIPTG_200nMaTet_61.mzXML,944347.536132812,637273.080932617,511729.538085938,16247378.053833,2751276.77294922,2671848.49804688,0.0392231337,61,sample,-21.9271640479,-0.4033023486,8.1537911574,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS41_2,1.5452585244,MVA2_41_3 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.532,1.561
MVARBS171 TB_Glc_amp_kan 25uMIPTG_200nMaTet_73.mzXML,1375166.26855469,931633.875,687294.405273438,22880559.8916016,4203573.52294922,4093313.12695312,0.0407172674,73,sample,-21.3149445892,0.1358057306,8.6131858756,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS171,1.6041223292,MVARBS171 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.94,1.853
MVARBS172 TB_Glc_amp_kan 25uMIPTG_200nMaTet_85.mzXML,216065.232421875,80617.0762939453,155397.633789062,21690979.3291016,3942503.76806641,3820043.85498047,0.0037166176,85,sample,-36.4759153309,-13.2146386192,-2.7632409637,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS172,0.1464221378,MVARBS172 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.702,2.362
MVARBS173 TB_Glc_amp_kan 25uMIPTG_200nMaTet_2.mzXML,1071792.234375,722567.694091797,537859.747558594,19692411.8409424,3430089.2902832,3426998.15332031,0.0366926967,2,sample,-22.9640074969,-1.3163257295,7.3757688366,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS173,1.4455678832,MVARBS173 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.964,2.146
MVARBS174 TB_Glc_amp_kan 25uMIPTG_200nMaTet_14.mzXML,132685.559082031,52423.799987793,110556.973388672,18820477.8776855,3225392.38232422,3225742.12939453,0.0027854659,14,sample,-36.8574535956,-13.5506135021,-3.0495380768,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS174,0.1097379168,MVARBS174 TB_Glc_amp_kan 25uMIPTG_200nMaTet,2.091,1.621
MVARBS175 TB_Glc_amp_kan 25uMIPTG_200nMaTet_26.mzXML,1507184.50146484,943102.401611328,712871.261230469,23682216.940918,4427684.45751953,4273291.30029297,0.0398232312,26,sample,-21.6812747982,-0.186777246,8.3383005208,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS175,1.5689003355,MVARBS175 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.089,1.913
MVARBS176 TB_Glc_amp_kan 25uMIPTG_200nMaTet_38.mzXML,803782.317871094,547889.985595703,421923.031738281,18003099.8874512,3089585.04248047,3078165.3137207,0.0304330915,38,sample,-25.5288730259,-3.5748944644,5.4511555952,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS176,1.198960655,MVARBS176 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.645,1.697
